,gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
SSR4,SSR4,6.72E-97,-2.490218316,0.612,0.94,1.28E-92,T cell
RPLP1,RPLP1,7.71E-97,1.150586396,0.998,1,1.47E-92,T cell
RPL30,RPL30,3.03E-96,1.509126197,0.987,0.981,5.79E-92,T cell
RPL14,RPL14,8.65E-96,1.334352248,0.993,0.978,1.65E-91,T cell
RPS12,RPS12,2.14E-95,1.38208707,0.993,0.995,4.08E-91,T cell
RPS20,RPS20,6.31E-95,1.429152175,0.987,0.966,1.21E-90,T cell
RPL39,RPL39,2.69E-94,1.510380323,0.993,0.977,5.13E-90,T cell
RPS25,RPS25,3.53E-94,1.415963503,0.987,0.982,6.75E-90,T cell
PTMA,PTMA,1.71E-93,1.431719136,1,0.997,3.26E-89,T cell
DERL3,DERL3,6.56E-93,-1.591381396,0.009,0.623,1.25E-88,T cell
IL7R,IL7R,8.33E-93,2.783409344,0.566,0.069,1.59E-88,T cell
RPL35A,RPL35A,1.34E-92,1.271731574,0.987,0.991,2.56E-88,T cell
IGKC,IGKC,1.39E-92,-6.814091711,0.443,0.856,2.66E-88,T cell
IGHG3,IGHG3,1.83E-92,-7.115042363,0.371,0.796,3.50E-88,T cell
PTPRC,PTPRC,2.41E-91,2.40403093,0.787,0.373,4.60E-87,T cell
MALAT1,MALAT1,3.65E-91,1.508253147,1,1,6.97E-87,T cell
PFN1,PFN1,7.42E-89,1.745309398,0.95,0.722,1.42E-84,T cell
NPC2,NPC2,7.82E-89,-1.846909718,0.164,0.844,1.49E-84,T cell
BTG1,BTG1,7.92E-89,2.221268349,0.882,0.757,1.51E-84,T cell
IGHG4,IGHG4,3.89E-88,-5.464220065,0.351,0.773,7.44E-84,T cell
RPL27A,RPL27A,6.75E-88,1.230039227,0.993,0.995,1.29E-83,T cell
LY96,LY96,9.89E-88,-1.128342931,0.053,0.692,1.89E-83,T cell
RPS28,RPS28,1.65E-87,1.271304888,0.996,0.991,3.14E-83,T cell
RPL35,RPL35,2.08E-87,1.297732998,0.978,0.983,3.97E-83,T cell
RPS6,RPS6,1.28E-86,1.109898758,0.996,0.997,2.45E-82,T cell
RPL32,RPL32,2.92E-86,1.276567579,0.996,0.995,5.58E-82,T cell
HSPA8,HSPA8,4.08E-86,1.834206914,0.921,0.888,7.79E-82,T cell
CD3G,CD3G,1.28E-85,1.921476191,0.493,0.038,2.44E-81,T cell
RPL34,RPL34,1.58E-85,1.339230312,0.991,0.994,3.02E-81,T cell
TRBC2,TRBC2,4.70E-85,2.410559564,0.59,0.121,8.99E-81,T cell
RPL19,RPL19,1.16E-83,1.140871188,0.998,0.996,2.22E-79,T cell
RPL18A,RPL18A,1.18E-83,1.096414856,0.993,0.999,2.26E-79,T cell
LTB,LTB,1.45E-83,2.984388981,0.66,0.188,2.78E-79,T cell
CXCR4,CXCR4,2.28E-83,2.337226853,0.875,0.705,4.36E-79,T cell
CORO1A,CORO1A,8.51E-82,1.893866646,0.803,0.404,1.63E-77,T cell
RPL11,RPL11,3.36E-81,1.154023092,0.993,0.996,6.42E-77,T cell
RPL37A,RPL37A,3.28E-80,1.265028393,0.978,0.981,6.26E-76,T cell
EEF1A1,EEF1A1,3.79E-80,1.140144557,1,0.999,7.25E-76,T cell
RPS7,RPS7,8.27E-80,1.060651775,0.982,0.986,1.58E-75,T cell
TMSB4X,TMSB4X,9.75E-80,1.396040505,1,0.992,1.86E-75,T cell
XBP1,XBP1,5.73E-79,-1.74919488,0.307,0.827,1.09E-74,T cell
HLA-C,HLA-C,5.01E-78,1.023628568,0.993,0.994,9.57E-74,T cell
TRBC1,TRBC1,6.30E-78,2.918208159,0.564,0.121,1.20E-73,T cell
CALM1,CALM1,7.01E-78,1.659648028,0.849,0.779,1.34E-73,T cell
RPL6,RPL6,3.07E-77,1.045015214,0.978,0.995,5.87E-73,T cell
TNFRSF17,TNFRSF17,3.24E-77,-1.138846719,0.004,0.542,6.19E-73,T cell
KLRB1,KLRB1,6.81E-77,3.790174381,0.557,0.119,1.30E-72,T cell
HLA-E,HLA-E,2.31E-75,1.35779004,0.901,0.866,4.42E-71,T cell
TMSB10,TMSB10,1.45E-74,1.331932989,0.996,0.903,2.78E-70,T cell
IGLC2,IGLC2,2.09E-74,-7.072711086,0.25,0.76,3.98E-70,T cell
LCK,LCK,3.45E-74,1.779091221,0.487,0.065,6.60E-70,T cell
RPL26,RPL26,6.37E-74,1.131059852,0.989,0.981,1.22E-69,T cell
MYL12A,MYL12A,1.43E-73,1.728746805,0.814,0.501,2.73E-69,T cell
WT1-AS,WT1-AS,1.43E-72,-1.110665673,0.002,0.514,2.73E-68,T cell
RPL10A,RPL10A,1.74E-72,1.124324837,0.969,0.984,3.32E-68,T cell
RPL18,RPL18,1.76E-72,1.021673782,0.969,0.99,3.36E-68,T cell
RPL24,RPL24,2.35E-72,1.078233729,0.961,0.966,4.49E-68,T cell
ACTB,ACTB,2.42E-72,1.282852489,0.993,0.943,4.62E-68,T cell
SPOCK2,SPOCK2,3.34E-72,1.928297475,0.454,0.047,6.37E-68,T cell
S100A6,S100A6,5.03E-72,1.370324458,0.875,0.577,9.60E-68,T cell
HCST,HCST,1.29E-71,1.628936537,0.737,0.244,2.47E-67,T cell
RPL27,RPL27,1.81E-71,1.159309035,0.967,0.962,3.47E-67,T cell
CCL5,CCL5,6.90E-71,3.557191059,0.57,0.157,1.32E-66,T cell
TMA7,TMA7,7.08E-71,1.530865891,0.84,0.769,1.35E-66,T cell
RPS16,RPS16,1.11E-70,0.989903201,0.993,0.991,2.12E-66,T cell
RPS4X,RPS4X,3.18E-70,0.95595244,0.976,0.997,6.07E-66,T cell
GZMA,GZMA,3.66E-70,2.853437849,0.496,0.086,6.99E-66,T cell
FCRL5,FCRL5,1.24E-69,-0.896670765,0.002,0.499,2.37E-65,T cell
GAPDH,GAPDH,1.80E-69,1.436444827,0.945,0.949,3.43E-65,T cell
RPS13,RPS13,5.20E-69,1.246600802,0.945,0.96,9.93E-65,T cell
RPL9,RPL9,6.44E-69,1.099046127,0.971,0.984,1.23E-64,T cell
SH3BGRL3,SH3BGRL3,7.05E-67,1.479409479,0.877,0.626,1.35E-62,T cell
UBA52,UBA52,2.17E-66,1.094340877,0.967,0.96,4.14E-62,T cell
RPS3A,RPS3A,2.17E-66,0.966221878,0.991,0.992,4.15E-62,T cell
RPL7,RPL7,5.97E-66,1.029550758,0.971,0.979,1.14E-61,T cell
ARHGDIB,ARHGDIB,6.08E-66,1.743184296,0.779,0.483,1.16E-61,T cell
FAU,FAU,6.23E-66,0.991958683,0.98,0.987,1.19E-61,T cell
EVL,EVL,8.89E-66,1.709673089,0.603,0.195,1.70E-61,T cell
RPS23,RPS23,1.79E-65,0.952317568,0.996,0.99,3.42E-61,T cell
RPL12,RPL12,2.92E-65,1.022096584,0.985,0.981,5.58E-61,T cell
RPL15,RPL15,3.84E-65,0.9018887,0.985,0.996,7.34E-61,T cell
ATP5E,ATP5E,9.65E-65,1.100006241,0.945,0.957,1.84E-60,T cell
RRBP1,RRBP1,2.00E-64,-1.04602086,0.147,0.723,3.82E-60,T cell
HMGB1,HMGB1,2.77E-64,1.87807391,0.833,0.822,5.29E-60,T cell
CST7,CST7,4.83E-64,1.879579397,0.45,0.066,9.23E-60,T cell
RPS17,RPS17,1.20E-63,0.975959063,0.98,0.994,2.29E-59,T cell
MEF2C,MEF2C,5.10E-63,-1.042436488,0.015,0.49,9.75E-59,T cell
CD69,CD69,5.84E-63,2.199871135,0.592,0.194,1.12E-58,T cell
CLEC2D,CLEC2D,1.70E-62,1.898301438,0.526,0.138,3.26E-58,T cell
RPL29,RPL29,8.04E-62,0.954441327,0.971,0.988,1.54E-57,T cell
TPT1,TPT1,1.61E-61,0.846778192,0.991,0.996,3.07E-57,T cell
RPS2,RPS2,7.03E-61,0.880673109,0.993,0.999,1.34E-56,T cell
RPS24,RPS24,7.68E-61,0.89502166,0.987,0.982,1.47E-56,T cell
IGKV1-12,IGKV1-12,2.51E-60,-1.87941929,0.009,0.455,4.80E-56,T cell
RORA,RORA,2.70E-60,1.751931561,0.456,0.086,5.17E-56,T cell
RPS14,RPS14,7.19E-60,0.959647922,0.991,0.991,1.37E-55,T cell
SDC1,SDC1,4.14E-59,-0.770558138,0.002,0.439,7.90E-55,T cell
FKBP2,FKBP2,6.31E-59,-0.951865773,0.246,0.838,1.21E-54,T cell
RPL22,RPL22,8.33E-59,1.031645431,0.936,0.93,1.59E-54,T cell
RPS8,RPS8,1.51E-58,0.795623301,0.991,0.996,2.89E-54,T cell
CD7,CD7,3.51E-58,1.762212238,0.414,0.06,6.71E-54,T cell
IFITM2,IFITM2,4.04E-58,1.654443702,0.627,0.255,7.73E-54,T cell
RPS10,RPS10,6.85E-58,1.262858574,0.875,0.835,1.31E-53,T cell
CFL1,CFL1,2.88E-57,1.32511526,0.877,0.748,5.50E-53,T cell
CD96,CD96,6.13E-57,1.417531825,0.355,0.027,1.17E-52,T cell
TRAT1,TRAT1,7.78E-57,1.347463374,0.336,0.018,1.49E-52,T cell
ANXA1,ANXA1,4.60E-56,1.881152875,0.669,0.292,8.79E-52,T cell
SSR3,SSR3,8.19E-56,-0.848909785,0.257,0.844,1.56E-51,T cell
RPL3,RPL3,1.03E-55,0.849740671,0.989,0.997,1.97E-51,T cell
RPL23,RPL23,1.66E-55,0.973661814,0.945,0.923,3.17E-51,T cell
SEC11C,SEC11C,1.83E-55,-1.053824728,0.217,0.739,3.49E-51,T cell
COX7C,COX7C,4.49E-55,1.108620708,0.871,0.87,8.58E-51,T cell
COBLL1,COBLL1,7.24E-55,-0.901066907,0.009,0.427,1.38E-50,T cell
HINT1,HINT1,2.05E-54,1.322275637,0.816,0.774,3.93E-50,T cell
RARRES3,RARRES3,2.68E-54,1.821121994,0.601,0.274,5.13E-50,T cell
PIM2,PIM2,2.93E-54,-0.894634906,0.11,0.619,5.61E-50,T cell
IL2RG,IL2RG,6.01E-54,1.660394672,0.616,0.314,1.15E-49,T cell
RPL10,RPL10,6.07E-54,0.788623174,0.996,1,1.16E-49,T cell
PSAP,PSAP,6.12E-54,-1.614968437,0.23,0.782,1.17E-49,T cell
AC092580.4,AC092580.4,6.69E-54,1.406453019,0.289,0.004,1.28E-49,T cell
ACAP1,ACAP1,9.27E-54,1.629818708,0.485,0.131,1.77E-49,T cell
IGLV3-1,IGLV3-1,2.81E-53,-1.366241804,0.007,0.412,5.36E-49,T cell
ERLEC1,ERLEC1,1.28E-52,-0.750729184,0.129,0.66,2.44E-48,T cell
IGHM,IGHM,7.05E-52,-1.535990967,0.022,0.43,1.35E-47,T cell
LAT,LAT,1.45E-51,1.427152751,0.36,0.044,2.78E-47,T cell
RPL5,RPL5,1.61E-51,0.874127107,0.961,0.99,3.07E-47,T cell
MYL12B,MYL12B,1.72E-51,1.513283411,0.68,0.403,3.29E-47,T cell
HNRNPA2B1,HNRNPA2B1,2.87E-51,1.495928752,0.768,0.675,5.48E-47,T cell
TNFSF14,TNFSF14,9.01E-51,1.69340355,0.338,0.032,1.72E-46,T cell
RAB30,RAB30,1.01E-50,-0.772716191,0.018,0.421,1.93E-46,T cell
RPL36A,RPL36A,6.63E-50,1.63055151,0.757,0.575,1.27E-45,T cell
IFNG,IFNG,8.88E-50,2.288499134,0.303,0.018,1.70E-45,T cell
RPS9,RPS9,2.28E-49,0.79016421,0.974,0.995,4.36E-45,T cell
CST3,CST3,9.67E-49,-4.002260152,0.061,0.466,1.85E-44,T cell
RPL36AL,RPL36AL,1.91E-48,0.927876748,0.886,0.952,3.65E-44,T cell
EML4,EML4,1.97E-48,1.54072714,0.447,0.117,3.76E-44,T cell
FYN,FYN,2.08E-48,1.429229955,0.362,0.053,3.98E-44,T cell
IGHV1-46,IGHV1-46,2.34E-48,-0.738267712,0.033,0.438,4.48E-44,T cell
SH2D1A,SH2D1A,3.02E-48,1.210882225,0.272,0.008,5.77E-44,T cell
HNRNPA1,HNRNPA1,3.94E-48,1.381425372,0.776,0.706,7.52E-44,T cell
ITM2C,ITM2C,5.28E-48,-0.770884145,0.154,0.664,1.01E-43,T cell
GRN,GRN,7.49E-48,-1.353094033,0.059,0.473,1.43E-43,T cell
FYB,FYB,1.03E-47,1.410534811,0.535,0.181,1.98E-43,T cell
DNAJB9,DNAJB9,1.69E-47,-0.830028942,0.204,0.721,3.24E-43,T cell
ACTG1,ACTG1,2.77E-47,1.33944286,0.853,0.722,5.29E-43,T cell
IGKV1-5,IGKV1-5,2.78E-47,-1.449999525,0.035,0.426,5.32E-43,T cell
RPS11,RPS11,4.10E-47,0.706340802,0.971,0.983,7.83E-43,T cell
TOMM7,TOMM7,7.15E-47,1.259719356,0.816,0.716,1.37E-42,T cell
MYL6,MYL6,8.31E-47,1.018416989,0.888,0.934,1.59E-42,T cell
PPDPF,PPDPF,1.55E-46,1.455352558,0.704,0.529,2.96E-42,T cell
FCGRT,FCGRT,1.64E-46,-1.384586373,0.039,0.431,3.13E-42,T cell
EEF1D,EEF1D,2.10E-46,0.791464202,0.93,0.978,4.02E-42,T cell
SPAG4,SPAG4,2.20E-46,-0.534000729,0.02,0.404,4.20E-42,T cell
LEPROTL1,LEPROTL1,2.34E-46,1.704423937,0.533,0.231,4.47E-42,T cell
CD247,CD247,4.15E-46,1.157535271,0.285,0.018,7.93E-42,T cell
KDELR1,KDELR1,7.70E-46,-0.527287709,0.107,0.574,1.47E-41,T cell
SRP14,SRP14,8.86E-46,1.185793688,0.792,0.77,1.69E-41,T cell
RAC2,RAC2,1.40E-45,1.641920315,0.588,0.319,2.68E-41,T cell
STK17A,STK17A,5.25E-45,1.533236576,0.445,0.13,1.00E-40,T cell
RPL4,RPL4,1.25E-44,0.873777699,0.895,0.948,2.39E-40,T cell
HMGB2,HMGB2,1.41E-44,2.278135642,0.507,0.195,2.70E-40,T cell
NACA,NACA,2.96E-44,0.791833205,0.925,0.952,5.65E-40,T cell
SOD1,SOD1,3.38E-44,1.468083964,0.728,0.666,6.46E-40,T cell
MT-CO1,MT-CO1,3.51E-44,0.647564449,0.993,1,6.70E-40,T cell
GNB2L1,GNB2L1,3.60E-44,0.819318818,0.925,0.966,6.88E-40,T cell
ETS1,ETS1,1.27E-43,1.293342186,0.305,0.032,2.43E-39,T cell
SEL1L,SEL1L,1.30E-43,-0.462929879,0.075,0.508,2.48E-39,T cell
ALOX5AP,ALOX5AP,4.42E-43,1.442823207,0.498,0.171,8.44E-39,T cell
S100A10,S100A10,4.58E-43,1.042358142,0.741,0.442,8.75E-39,T cell
RPLP0,RPLP0,6.55E-43,0.824708102,0.939,0.99,1.25E-38,T cell
ID2,ID2,8.41E-43,1.397583998,0.673,0.344,1.61E-38,T cell
PRDM1,PRDM1,1.38E-42,-0.673172075,0.121,0.578,2.64E-38,T cell
IGLC3,IGLC3,2.33E-42,-5.608622387,0.252,0.729,4.45E-38,T cell
ANKRD28,ANKRD28,3.40E-42,-0.703501628,0.178,0.665,6.49E-38,T cell
CACYBP,CACYBP,4.47E-42,1.641438331,0.64,0.451,8.54E-38,T cell
NPM1,NPM1,2.39E-41,1.176743536,0.77,0.725,4.57E-37,T cell
RPS5,RPS5,2.89E-41,0.745755509,0.943,0.99,5.51E-37,T cell
PFDN5,PFDN5,4.12E-41,0.780823971,0.901,0.891,7.87E-37,T cell
BCL11B,BCL11B,4.44E-41,1.130529746,0.25,0.013,8.48E-37,T cell
SARAF,SARAF,2.17E-40,1.309947122,0.752,0.723,4.15E-36,T cell
GIMAP7,GIMAP7,2.32E-40,1.365907597,0.331,0.056,4.44E-36,T cell
CD48,CD48,2.45E-40,1.24311743,0.566,0.247,4.68E-36,T cell
BATF,BATF,2.88E-40,1.282052,0.303,0.042,5.50E-36,T cell
LYZ,LYZ,3.43E-40,-3.711301354,0.02,0.349,6.55E-36,T cell
COMMD6,COMMD6,4.30E-40,1.253216967,0.717,0.527,8.21E-36,T cell
FNDC3B,FNDC3B,5.07E-40,-0.459510074,0.031,0.387,9.69E-36,T cell
PLPP5,PLPP5,6.11E-40,-0.453423967,0.09,0.505,1.17E-35,T cell
THEMIS2,THEMIS2,9.92E-40,-0.708780943,0.013,0.342,1.90E-35,T cell
FXYD5,FXYD5,1.38E-39,1.32421231,0.664,0.408,2.64E-35,T cell
RPL8,RPL8,2.35E-39,0.62091374,0.982,0.999,4.49E-35,T cell
NKG7,NKG7,4.51E-39,2.758180601,0.393,0.113,8.61E-35,T cell
SIL1,SIL1,7.40E-39,-0.394091205,0.035,0.388,1.41E-34,T cell
UBE2J1,UBE2J1,1.15E-38,-0.436134651,0.125,0.571,2.19E-34,T cell
ATP5L,ATP5L,1.74E-38,1.007516702,0.807,0.865,3.33E-34,T cell
GPR171,GPR171,2.03E-38,1.119766367,0.246,0.017,3.87E-34,T cell
SERF2,SERF2,3.54E-38,0.684023389,0.921,0.947,6.76E-34,T cell
PECAM1,PECAM1,4.01E-38,-0.459766848,0.061,0.438,7.67E-34,T cell
SDF2L1,SDF2L1,4.18E-38,-0.531754997,0.178,0.648,7.99E-34,T cell
CADM1,CADM1,4.87E-38,-0.479078314,0.013,0.33,9.30E-34,T cell
7-Sep,7-Sep,6.42E-38,1.516648136,0.588,0.386,1.23E-33,T cell
GSTP1,GSTP1,1.64E-37,-0.765135919,0.322,0.855,3.14E-33,T cell
HSP90AB1,HSP90AB1,1.78E-37,1.114799809,0.886,0.932,3.40E-33,T cell
SKAP1,SKAP1,5.14E-37,0.993919113,0.254,0.025,9.83E-33,T cell
TRIB1,TRIB1,5.53E-37,-0.470384833,0.031,0.365,1.06E-32,T cell
MT-ATP6,MT-ATP6,5.85E-37,0.792979492,0.978,1,1.12E-32,T cell
IGLV6-57,IGLV6-57,1.13E-36,-0.803687293,0,0.291,2.17E-32,T cell
SLAMF7,SLAMF7,1.78E-36,-0.430967799,0.053,0.406,3.40E-32,T cell
EIF1,EIF1,2.08E-36,0.62192982,0.971,0.997,3.98E-32,T cell
CRIP1,CRIP1,3.12E-36,1.564871064,0.482,0.204,5.96E-32,T cell
MARCKS,MARCKS,3.44E-36,-0.801114304,0.007,0.301,6.58E-32,T cell
CTSZ,CTSZ,3.65E-36,-0.813444079,0.031,0.353,6.97E-32,T cell
CD40LG,CD40LG,5.38E-36,1.015181006,0.197,0.003,1.03E-31,T cell
GZMK,GZMK,5.81E-36,1.550829614,0.252,0.026,1.11E-31,T cell
CTSS,CTSS,7.49E-36,-1.07404467,0.2,0.638,1.43E-31,T cell
SPCS3,SPCS3,9.51E-36,-0.564109096,0.239,0.735,1.82E-31,T cell
FTL,FTL,1.15E-35,-2.172621702,0.917,1,2.19E-31,T cell
SEL1L3,SEL1L3,1.24E-35,-0.417516257,0.046,0.387,2.37E-31,T cell
HSP90B1,HSP90B1,1.35E-35,-0.760532817,0.368,0.851,2.57E-31,T cell
SAT1,SAT1,1.71E-35,-1.227800086,0.518,0.882,3.27E-31,T cell
TCF4,TCF4,2.05E-35,-0.587204054,0.018,0.322,3.92E-31,T cell
RPL7A,RPL7A,2.13E-35,0.590560966,0.978,0.999,4.07E-31,T cell
SELM,SELM,2.90E-35,-0.338388391,0.103,0.512,5.53E-31,T cell
CD8A,CD8A,2.98E-35,1.413401957,0.259,0.031,5.69E-31,T cell
GZMM,GZMM,7.52E-35,1.071639064,0.261,0.034,1.44E-30,T cell
BHLHE41,BHLHE41,7.88E-35,-0.493657182,0.002,0.283,1.50E-30,T cell
BACH1,BACH1,1.32E-34,-0.395770852,0.075,0.444,2.51E-30,T cell
RALGPS2,RALGPS2,2.02E-34,-0.453977238,0.011,0.301,3.86E-30,T cell
SRSF7,SRSF7,2.04E-34,1.423610848,0.673,0.584,3.90E-30,T cell
EAF2,EAF2,2.18E-34,-0.422176851,0.013,0.305,4.17E-30,T cell
TC2N,TC2N,2.33E-34,0.92521192,0.213,0.012,4.46E-30,T cell
CD6,CD6,6.26E-34,0.994456293,0.219,0.016,1.20E-29,T cell
LDHB,LDHB,6.35E-34,1.415845446,0.599,0.46,1.21E-29,T cell
IFNAR2,IFNAR2,1.81E-33,-0.329667317,0.092,0.47,3.46E-29,T cell
PRKX,PRKX,2.47E-33,1.289740933,0.281,0.048,4.71E-29,T cell
SERPINA1,SERPINA1,2.62E-33,-0.540734383,0.09,0.451,5.01E-29,T cell
GNG2,GNG2,3.00E-33,1.083883785,0.342,0.09,5.74E-29,T cell
LMAN1,LMAN1,6.81E-33,-0.353884388,0.14,0.556,1.30E-28,T cell
BTF3,BTF3,9.09E-33,0.945058961,0.785,0.748,1.74E-28,T cell
MT-CYB,MT-CYB,9.16E-33,0.873366548,0.956,0.999,1.75E-28,T cell
TPM3,TPM3,1.10E-32,1.190232529,0.66,0.458,2.10E-28,T cell
CD63,CD63,1.15E-32,-0.788014826,0.353,0.877,2.20E-28,T cell
RPS26,RPS26,1.19E-32,1.194847106,0.792,0.906,2.28E-28,T cell
HOPX,HOPX,1.51E-32,1.229701944,0.289,0.055,2.88E-28,T cell
ITM2A,ITM2A,1.77E-32,1.939083706,0.498,0.282,3.37E-28,T cell
MT-ND2,MT-ND2,1.97E-32,0.728395154,0.974,0.999,3.77E-28,T cell
DEK,DEK,2.26E-32,1.308772291,0.395,0.13,4.31E-28,T cell
PYHIN1,PYHIN1,2.48E-32,1.016252334,0.217,0.018,4.74E-28,T cell
CD99,CD99,2.71E-32,1.342635056,0.564,0.369,5.19E-28,T cell
RNF125,RNF125,3.09E-32,1.106296294,0.237,0.027,5.90E-28,T cell
JSRP1,JSRP1,3.38E-32,-0.531080559,0.007,0.274,6.45E-28,T cell
RUNX3,RUNX3,4.34E-32,1.304899554,0.379,0.122,8.30E-28,T cell
VIM,VIM,6.29E-32,1.049796704,0.805,0.713,1.20E-27,T cell
PDE4D,PDE4D,6.92E-32,1.169529086,0.272,0.048,1.32E-27,T cell
CAPZB,CAPZB,8.89E-32,1.1865192,0.59,0.371,1.70E-27,T cell
PRF1,PRF1,9.46E-32,1.109916302,0.208,0.016,1.81E-27,T cell
SRGN,SRGN,1.08E-31,0.398364287,0.906,0.882,2.07E-27,T cell
FGL2,FGL2,1.17E-31,-0.786430559,0.031,0.321,2.23E-27,T cell
YWHAB,YWHAB,1.57E-31,1.150452339,0.632,0.468,3.01E-27,T cell
TRA2B,TRA2B,2.14E-31,1.426609468,0.566,0.374,4.10E-27,T cell
FAM49A,FAM49A,2.41E-31,-0.539289294,0.009,0.273,4.61E-27,T cell
REL,REL,2.45E-31,1.362758543,0.566,0.299,4.68E-27,T cell
POU2AF1,POU2AF1,2.68E-31,-0.343457941,0.013,0.284,5.12E-27,T cell
FKBP11,FKBP11,3.05E-31,-0.854613468,0.338,0.704,5.84E-27,T cell
RNASE6,RNASE6,3.38E-31,-0.827910772,0.011,0.275,6.45E-27,T cell
DDX5,DDX5,3.65E-31,0.926253399,0.82,0.904,6.97E-27,T cell
PIK3R1,PIK3R1,4.27E-31,1.403974514,0.325,0.087,8.15E-27,T cell
ARPC2,ARPC2,4.47E-31,0.971143655,0.787,0.806,8.55E-27,T cell
CPEB4,CPEB4,4.87E-31,-0.420325431,0.07,0.404,9.31E-27,T cell
AKR1A1,AKR1A1,6.45E-31,-0.316219817,0.123,0.506,1.23E-26,T cell
CCR6,CCR6,7.68E-31,1.205333434,0.248,0.036,1.47E-26,T cell
HNRNPK,HNRNPK,7.75E-31,1.163457782,0.64,0.54,1.48E-26,T cell
DNAJA1,DNAJA1,1.06E-30,1.320900927,0.757,0.822,2.02E-26,T cell
PPIA,PPIA,1.53E-30,1.130364399,0.741,0.703,2.91E-26,T cell
CTSW,CTSW,2.39E-30,1.133691266,0.226,0.026,4.57E-26,T cell
HSPE1,HSPE1,2.45E-30,1.207936897,0.798,0.814,4.68E-26,T cell
PRKCH,PRKCH,2.89E-30,0.920196605,0.232,0.03,5.52E-26,T cell
ARHGEF1,ARHGEF1,4.42E-30,1.093926369,0.351,0.109,8.45E-26,T cell
AAK1,AAK1,4.58E-30,1.233757797,0.351,0.113,8.74E-26,T cell
IL2RB,IL2RB,5.29E-30,0.845206825,0.184,0.009,1.01E-25,T cell
NBEAL1,NBEAL1,5.52E-30,1.168325152,0.662,0.51,1.05E-25,T cell
IGHA1,IGHA1,7.22E-30,-3.608829193,0.07,0.392,1.38E-25,T cell
SNRPD2,SNRPD2,7.69E-30,1.34772675,0.623,0.518,1.47E-25,T cell
