,logFC,t,P.Value,adj.P.Val,B
SATO_SILENCED_BY_METHYLATION_IN_PANCREATIC_CANCER_1,0.0600614089012379,12.6388753630005,1.0362796940215e-35,3.25650893846256e-33,70.035959342749
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN,-0.122637578658272,-12.6173717569453,1.3431884715709e-35,4.01997121134434e-33,69.7787138719157
LINDSTEDT_DENDRITIC_CELL_MATURATION_A,0.0861280942472143,12.3838926374386,2.1897312840104e-34,6.25566414545698e-32,67.0110164450728
BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP,0.015313618825317,12.3110685443784,5.1806174996495e-34,1.415660042839e-31,66.1572873720245
DOANE_BREAST_CANCER_ESR1_UP,-0.0685762085880644,-12.2493846457613,1.07059188622702e-33,2.803612502057e-31,65.4377154441779
REACTOME_INTERLEUKIN_10_SIGNALING,0.107328683578757,12.1574539699972,3.13923992065903e-33,7.8920491605368e-31,64.3713688720013
SERVITJA_ISLET_HNF1A_TARGETS_UP,0.10391454000015,11.8860829157513,7.20440238395908e-32,1.74152573012242e-29,61.2661201020382
NAKAMURA_ALVEOLAR_EPITHELIUM,-0.231378187879701,-11.8323088921619,1.33038720539835e-31,3.09684577256616e-29,60.6583578749774
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP,0.0564403947043695,11.8254592408092,1.43824002552615e-31,3.22833520015423e-29,60.5811221831487
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP,0.0872806652137043,11.5456411674701,3.35526393285049e-30,7.27166683378114e-28,57.4608187764501
REACTOME_PI_3K_CASCADE_FGFR1,-0.113108782328974,-11.3015133163199,4.95496581739532e-29,1.03806533874432e-26,54.794359027077
GHANDHI_DIRECT_IRRADIATION_UP,0.0653497770909379,11.2471964089665,8.95648284640195e-29,1.81585466740762e-26,54.2081984946537
WP_ANGIOGENESIS,-0.100104099901494,-11.2357488953975,1.01432918783961e-28,1.99220592049124e-26,54.0849936927709
BIOCARTA_GHRELIN_PATHWAY,-0.131052748759799,-11.2059543778076,1.40152113617491e-28,2.6692607093513e-26,53.7648683400525
BIOCARTA_BLYMPHOCYTE_PATHWAY,0.139120797955316,11.0741439094877,5.80457811965849e-28,1.07299333770746e-25,52.3580220134753
GABRIELY_MIR21_TARGETS,-0.0124420467598303,-11.0033214193531,1.23779414947543e-27,2.2227246369866e-25,51.6084481171635
BIOCARTA_TCYTOTOXIC_PATHWAY,0.029914613671705,10.9833307622322,1.53155564769876e-27,2.67384090160742e-25,51.3976725634742
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,-0.106048675983471,-10.9357745192447,2.53824205398154e-27,4.31158143493891e-25,50.8976748209245
WANG_CLASSIC_ADIPOGENIC_TARGETS_OF_PPARG,-0.0974764081539383,-10.8685868616286,5.16452311685953e-27,8.54184941827952e-25,50.194690021949
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN,0.0840225012941061,10.7710711717779,1.43783478131606e-26,2.31712605142858e-24,49.1815064351541
BIOCARTA_THELPER_PATHWAY,0.0313710194141662,10.7669804165516,1.5006642778117e-26,2.35791874651163e-24,49.1391882485479
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP,0.0411305249685056,10.762364373962,1.57483672066653e-26,2.41410946082662e-24,49.0914539119487
MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_UP,0.0400663646993044,10.714696579754,2.58892553505833e-26,3.87414213996228e-24,48.5996309111637
WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS,0.0249177799941777,10.6944194326736,3.19660585844082e-26,4.67224833030245e-24,48.3910297933534
LEIN_LOCALIZED_TO_DISTAL_AND_PROXIMAL_DENDRITES,-0.120283822365433,-10.6818614834032,3.64183606620146e-26,5.20203174456277e-24,48.2620234290582
MIKKELSEN_MEF_LCP_WITH_H3K4ME3,0.0540890362144926,10.6581260680192,4.65792208522495e-26,6.50556451236418e-24,48.0185757937453
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,-0.0343616038303297,-10.4982748990148,2.41158664472679e-25,3.29496131784954e-23,46.3921106676668
MIKKELSEN_IPS_LCP_WITH_H3K27ME3,-0.0226014990358766,-10.4556144113808,3.72579728205122e-25,4.94075767186345e-23,45.9619036747102
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.111558316208717,10.4543677135257,3.77337101431099e-25,4.94075767186345e-23,45.9493559082333
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16,0.100521370873964,10.4094779281065,5.9530395383737e-25,7.63568438748545e-23,45.4984758746863
REACTOME_COLLAGEN_FORMATION,0.0961788173629372,10.4059352051426,6.17067470288975e-25,7.75653810153241e-23,45.462969016081
WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA,0.127415655268526,10.3906859597581,7.20111002996087e-25,8.87430912515766e-23,45.3102621390113
BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE,0.053682523183538,10.3731444646535,8.59877572317139e-25,1.03082953673365e-22,45.1348581863323
SIMBULAN_PARP1_TARGETS_UP,-0.161391896640564,-10.3720686454666,8.69275504325911e-25,1.03082953673365e-22,45.1241096427794
TANG_SENESCENCE_TP53_TARGETS_DN,-0.0294334348189601,-10.2967104682115,1.8566293730744e-24,2.16091029810604e-22,44.3737860671194
SHIRAISHI_PLZF_TARGETS_DN,0.15841870562227,10.2696588710865,2.43498244199504e-24,2.78252084507978e-22,44.1056826183294
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION,0.115882219499742,10.2370381412856,3.37392467684658e-24,3.78173434448867e-22,43.7832586369116
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP,0.0620998824065499,10.2353946381872,3.42973520502552e-24,3.78173434448867e-22,43.767039516438
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN,0.0551925802772176,10.1976314564555,4.99677910975165e-24,5.41461322496364e-22,43.3950375954015
WP_LNCRNAMEDIATED_MECHANISMS_OF_THERAPEUTIC_RESISTANCE,0.117306292871309,10.1938970385165,5.18587159478903e-24,5.5242716903812e-22,43.3583198334588
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN,-0.0585561017362382,-10.1082411478369,1.21156401014077e-23,1.26911330062245e-21,42.5195744575621
WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS,0.151073399745043,10.0457349007297,2.24117381106946e-23,2.30914383648714e-21,41.9116827956236
MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_UP,-0.11018348302847,-10.0293857680941,2.63084623639171e-23,2.66691428963256e-21,41.7532640303029
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12,0.0556826067376116,9.98870925118859,3.91614264901387e-23,3.90681849984955e-21,41.360166199072
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP,0.0325578064583085,9.91017130753689,8.4063424467257e-23,8.2552909808861e-21,40.6054048520887
RADAEVA_RESPONSE_TO_IFNA1_DN,0.114679648050769,9.89176680572703,1.00461898915983e-22,9.71389284133774e-21,40.4293415074083
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,-0.173384624059661,-9.86578383818133,1.29133775952085e-22,1.22970573008918e-20,40.1813019975188
BAUS_TFF2_TARGETS_DN,0.108489295932892,9.84021293852144,1.65231232297332e-22,1.54996760446079e-20,39.9377929595697
REACTOME_NCAM1_INTERACTIONS,0.102424164826316,9.75692126545498,3.67301998040312e-22,3.3948427318873e-20,39.1487232907261
DAZARD_RESPONSE_TO_UV_NHEK_DN,-0.00979441278138116,-9.75496169170966,3.7424224774387e-22,3.40885873488438e-20,39.1302348738625
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,-0.0493149416602646,-9.72394377011564,5.03077082621384e-22,4.51691352039343e-20,38.8380474868539
WANG_ESOPHAGUS_CANCER_VS_NORMAL_UP,0.0985039208264405,9.70870982772996,5.815654138617e-22,5.14808257200111e-20,38.6948642721546
HOLLERN_SOLID_NODULAR_BREAST_TUMOR_DN,0.0731126338775678,9.65445849817027,9.72949105967285e-22,8.49303490417276e-20,38.1866703633678
REACTOME_INSULIN_PROCESSING,-0.0742757979656276,-9.64464770475816,1.06753803164415e-21,9.19106373819659e-20,38.0950543438347
REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING,-0.143769232072522,-9.61515032856575,1.41027277792923e-21,1.19777897422773e-19,37.8201265527725
BIOCARTA_RHO_PATHWAY,-0.0876682225729887,-9.5774019450752,2.01163727221599e-21,1.685752034117e-19,37.4694507344364
RUNNE_GENDER_EFFECT_UP,-0.136733668597299,-9.52994861753193,3.13805375582578e-21,2.59508787570593e-19,37.0304583455791
FARMER_BREAST_CANCER_CLUSTER_1,0.0195377698760473,9.5073785089,3.87435474042817e-21,3.16237916150533e-19,36.822381477933
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP,0.0697269927578965,9.4366934398779,7.47460514023091e-21,6.0228068341476e-19,36.1737319712422
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP,0.0531452614173457,9.42819076906649,8.0869617784456e-21,6.43374111107982e-19,36.0960134596434
REACTOME_SENSORY_PROCESSING_OF_SOUND,-0.0763084116909941,-9.39108000206568,1.13948813212057e-20,8.95210363797225e-19,35.7575760567348
PID_IL4_2PATHWAY,0.0693102687383293,9.36321025096705,1.47297199675721e-20,1.1429171604468e-18,35.5042408055657
BIOCARTA_ALTERNATIVE_PATHWAY,-0.138369390559834,-9.34833373378967,1.68880146501889e-20,1.29440453751753e-18,35.3693043189809
DAZARD_UV_RESPONSE_CLUSTER_G6,-0.0123756871852556,-9.33332382913828,1.93823734950132e-20,1.46768936645973e-18,35.2333630453444
JEPSEN_SMRT_TARGETS,0.0810029186825696,9.32431176488118,2.10516334612707e-20,1.57511328933436e-18,35.1518418419372
MIKKELSEN_NPC_LCP_WITH_H3K4ME3,0.0456143129611506,9.31379725113848,2.31795932365981e-20,1.71392639402375e-18,35.0568237133658
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP,0.106647389102378,9.26787585154591,3.5256712958804e-20,2.57660977844283e-18,34.6430246170833
LIANG_SILENCED_BY_METHYLATION_2,0.0608057825215002,9.23710656273213,4.664618683561e-20,3.36978487657252e-18,34.3668420080025
WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS,0.0729689790870163,9.22430028307111,5.2396933940518e-20,3.74221283881995e-18,34.2521495262166
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.0671456236877393,9.20286172145732,6.36332901161462e-20,4.49365425146044e-18,34.0604831489873
ZHANG_INTERFERON_RESPONSE,0.0832127623749283,9.17984595737,7.83553822015991e-20,5.47181752374501e-18,33.8551852123714
KONDO_HYPOXIA,0.122520672363688,9.12102139152592,1.33084515162912e-19,9.19160634943847e-18,33.3326853189551
TERAO_AOX4_TARGETS_HG_DN,0.125902917828785,9.11402610887058,1.41708122218684e-19,9.68082117548294e-18,33.2707621507292
REACTOME_SIGNALING_BY_NTRK2_TRKB,-0.0782457620155304,-9.10401554157287,1.5501787154472e-19,1.04447614066706e-17,33.1822254536798
RODWELL_AGING_KIDNEY_UP,0.0681058377698864,9.10315764161185,1.56214410855534e-19,1.04447614066706e-17,33.1746421906573
NUYTTEN_NIPP1_TARGETS_UP,0.00647345196011895,9.09736849806476,1.64530873607496e-19,1.08850162170854e-17,33.1234876991183
ROY_WOUND_BLOOD_VESSEL_UP,0.0807376196544166,9.0898707797506,1.75955291244229e-19,1.15195729736456e-17,33.0572815206156
WALLACE_PROSTATE_CANCER_RACE_UP,0.0565026211489216,9.07783552151156,1.9595443505949e-19,1.26835484015604e-17,32.9511160566762
PETROVA_PROX1_TARGETS_DN,0.0710698940544546,9.07680347747955,1.97770524002055e-19,1.26835484015604e-17,32.9420183821524
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,-0.0761219784883635,-9.06512699132013,2.19513478392671e-19,1.39357799161408e-17,32.8391560090164
REACTOME_PI_3K_CASCADE_FGFR2,-0.0872077778366728,-9.0602091837408,2.29363339112606e-19,1.44154858632273e-17,32.7958707739496
ZHAN_MULTIPLE_MYELOMA_MS_UP,0.0588174501395811,9.05556201510901,2.39072135155086e-19,1.48769145490071e-17,32.75498806105
MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_UP,0.134599172684363,9.05228537701675,2.46160754918133e-19,1.51678465162791e-17,32.7261743026747
DING_LUNG_CANCER_BY_MUTATION_RATE,-0.0771098436025668,-9.01280333583624,3.49777915264207e-19,2.13432446352965e-17,32.3797574559449
RODWELL_AGING_KIDNEY_NO_BLOOD_UP,0.0805023855567273,9.01018632207397,3.58000590809541e-19,2.1634939550365e-17,32.3568463533618
MCLACHLAN_DENTAL_CARIES_UP,0.0643543724579106,8.99264501497299,4.18267522791266e-19,2.50362988642201e-17,32.2034406106184
VANHARANTA_UTERINE_FIBROID_UP,0.0564318358379916,8.97192143483302,5.02488455467267e-19,2.97937730435073e-17,32.0225695400772
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,0.0968624466400026,8.92143210765864,7.84370674143976e-19,4.60726138971485e-17,31.5835647351781
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN,-0.00867042096318532,-8.88706072849415,1.06072004852851e-18,6.17280139352005e-17,31.2860493409846
CUI_TCF21_TARGETS_2_UP,0.0565135846449494,8.87031834204214,1.22823204917925e-18,7.08205360467117e-17,31.1415233398705
WP_SEROTONIN_AND_ANXIETY,0.0595453061008271,8.86911913317142,1.24118738538582e-18,7.09169337922715e-17,31.1311812808589
VALK_AML_WITH_EVI1,-0.0802507316337314,-8.8634249206506,1.30456964662887e-18,7.38668489104723e-17,31.0820921075619
RADAEVA_RESPONSE_TO_IFNA1_UP,0.0940721743141036,8.85754842576432,1.37333386130116e-18,7.70661010560515e-17,31.0314628602846
SHI_SPARC_TARGETS_DN,0.0736785555385305,8.85234479558417,1.4372065083448e-18,7.93650431160357e-17,30.9866573100937
BIOCARTA_STEM_PATHWAY,0.0843727796261868,8.85215770190378,1.43955686797583e-18,7.93650431160357e-17,30.9850468162825
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN,-0.00825990019290573,-8.85102970548223,1.45380797912808e-18,7.94537665114779e-17,30.9753377592216
REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT,-0.137052228384904,-8.80682432141851,2.13683188210894e-18,1.15775761888402e-16,30.5957714105767
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_DN,-0.097923720044726,-8.8001959132864,2.26351808334577e-18,1.21591548323317e-16,30.5390125949612
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.0849349145780198,8.75881012917927,3.24016623921316e-18,1.72580040791989e-16,30.1855453808294
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.0786636785678151,8.75246999926323,3.42272978748919e-18,1.8077190516277e-16,30.1315354680612
HELLER_SILENCED_BY_METHYLATION_UP,0.0398904700085851,8.7360652361416,3.94360690651574e-18,2.06546411728762e-16,29.9919600158082
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,-0.0939938510245461,-8.73429901826515,4.00415521128641e-18,2.07984425644092e-16,29.9769474675824
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_1_DN,0.149594134128732,8.72534547410707,4.32550742374994e-18,2.22834542280888e-16,29.9008882537757
LIAN_NEUTROPHIL_GRANULE_CONSTITUENTS,0.0874319293482813,8.70967662987366,4.95030287032517e-18,2.52948402764176e-16,29.767961809846
BOQUEST_STEM_CELL_DN,0.0134150659090339,8.7053699345432,5.13712186208914e-18,2.60377507284115e-16,29.731465798008
WP_VITAMIN_D_RECEPTOR_PATHWAY,-0.0586031725809497,-8.70075136101097,5.34521072971367e-18,2.68757195490003e-16,29.6923459183165
BROWNE_INTERFERON_RESPONSIVE_GENES,0.033652110161036,8.69237996084857,5.74381719503243e-18,2.86507071990308e-16,29.6214894417292
CUI_GLUCOSE_DEPRIVATION,0.0584433543672361,8.68786965021768,5.97060252957453e-18,2.95474306286425e-16,29.5833405410172
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP,0.0538518996273095,8.68197493836836,6.28037434818502e-18,3.08376193580803e-16,29.533510539115
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS,0.0223752264192701,8.6680099707927,7.07901128673986e-18,3.44896015016744e-16,29.4155882562296
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,-0.111627314224299,-8.66635300490299,7.18018793399077e-18,3.47134470501015e-16,29.4016085666454
DESERT_STEM_CELL_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,0.0483116795956919,8.6483747049592,8.37408321762789e-18,4.01764221548025e-16,29.2500904765159
NIKOLSKY_BREAST_CANCER_17P11_AMPLICON,-0.102585971673742,-8.63086545267321,9.72461471270065e-18,4.63024268706997e-16,29.1028131138989
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_UP,0.0562245426185013,8.61411089624567,1.12174598441887e-17,5.3008823399042e-16,28.9621496622019
CHANG_IMMORTALIZED_BY_HPV31_DN,0.0448878198451881,8.60882419625143,1.1733881311929e-17,5.50354060040849e-16,28.9178189680438
BIOCARTA_CYTOKINE_PATHWAY,0.0920142679819722,8.60643458240884,1.19749430529204e-17,5.57500126574851e-16,28.8977897790806
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP,0.0871656560741164,8.60165972656636,1.24713660578285e-17,5.76115057389988e-16,28.8577838945823
SIMBULAN_UV_RESPONSE_NORMAL_UP,0.110364648937695,8.60035979896244,1.26099975429084e-17,5.76115057389988e-16,28.8468961767672
HAMAI_APOPTOSIS_VIA_TRAIL_UP,-0.00980885695077871,-8.59998935379063,1.26497816897086e-17,5.76115057389988e-16,28.843793750312
NABA_COLLAGENS,0.104607400008271,8.56030643581512,1.77138564191204e-17,7.95225625672654e-16,28.5121915116295
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,0.104607400008271,8.56030643581512,1.77138564191204e-17,7.95225625672654e-16,28.5121915116295
PID_INTEGRIN1_PATHWAY,0.0847172588635735,8.55716805415557,1.81907749151291e-17,8.10844115897776e-16,28.4860285631126
HECKER_IFNB1_TARGETS,0.0523731341059824,8.54777368949277,1.9695436454374e-17,8.71731113491132e-16,28.4077675480601
TCGA_GLIOBLASTOMA_MUTATED,-0.0884047208349468,-8.54504907647465,2.01543652144654e-17,8.85805492118289e-16,28.3850851067967
BIOCARTA_VITCB_PATHWAY,0.128380523512103,8.53711371410111,2.15519838989334e-17,9.40654297255529e-16,28.3190623385873
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.0785927020401662,8.52870151109306,2.31381020487497e-17,1.00161331677521e-15,28.2491360124294
KEGG_ASTHMA,0.0755644945488795,8.52804111307701,2.32673896975627e-17,1.00161331677521e-15,28.2436492421515
HANSON_HRAS_SIGNALING_VIA_NFKB,0.0574547546594118,8.50335720600588,2.86466369552695e-17,1.22478988614877e-15,28.0388587529985
LU_TUMOR_VASCULATURE_DN,-0.0739144121673554,-8.50003180723301,2.94593898499239e-17,1.25102881896467e-15,28.011312745114
VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1,0.0698573332073044,8.48774316981621,3.26651659903469e-17,1.37785616274718e-15,27.9096086322598
PID_NCADHERIN_PATHWAY,-0.0735860980988068,-8.4837025057704,3.37926808266208e-17,1.41591332663541e-15,27.8761976253387
DEBOSSCHER_NFKB_TARGETS_REPRESSED_BY_GLUCOCORTICOIDS,0.0845803423698292,8.47225404268558,3.72000943146693e-17,1.54836154150793e-15,27.7816161412763
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP,0.0891868186150105,8.4550221943683,4.2977705388165e-17,1.77707156818827e-15,27.639484721924
WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_DN,-0.0859624916820874,-8.44187321406587,4.79741195449889e-17,1.97070157738729e-15,27.5312150946252
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP,0.0328280985896853,8.43784422543044,4.96167774653655e-17,2.0249444569469e-15,27.4980722728997
KAAB_FAILED_HEART_ATRIUM_UP,-0.0635753126346249,-8.43228476186207,5.19749034418288e-17,2.10749850407673e-15,27.4523643956506
WP_APOPTOSIS_MODULATION_AND_SIGNALING,0.037354180780964,8.4041416215812,6.57180411201833e-17,2.64767877205354e-15,27.2214225881454
REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,-0.0786388849489152,-8.40267512754929,6.6525067371509e-17,2.6631213275792e-15,27.2094087639641
CHIARETTI_T_ALL_RELAPSE_PROGNOSIS,-0.10219753155033,-8.39342126751198,7.18478965200861e-17,2.85800018752368e-15,27.1336453409378
REACTOME_CELLULAR_HEXOSE_TRANSPORT,0.0666630687262731,8.37995843560146,8.03500803692627e-17,3.17481165629957e-15,27.0235643332204
GHANDHI_BYSTANDER_IRRADIATION_UP,0.0618118088142971,8.37925210688948,8.08225719980797e-17,3.17481165629957e-15,27.0177935773654
WP_ENDOCHONDRAL_OSSIFICATION,-0.0590520984132035,-8.36446870140083,9.13654319267931e-17,3.54464036827095e-15,26.8971186130379
WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,-0.0590520984132035,-8.36446870140083,9.13654319267931e-17,3.54464036827095e-15,26.8971186130379
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,-0.102572327959992,-8.35479071486093,9.89907002106673e-17,3.81691135474873e-15,26.8182286308004
REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R,-0.0607748462256515,-8.34714416016442,1.05456467577637e-16,4.04142621174053e-15,26.7559594759526
LIM_MAMMARY_LUMINAL_PROGENITOR_UP,0.068607725363883,8.34592680837785,1.06523583457448e-16,4.05758013351553e-15,26.7460510824708
WP_TYPE_II_INTERFERON_SIGNALING_IFNG,0.0625492837506289,8.32046023795396,1.31456561101596e-16,4.97713546098513e-15,26.5390872545989
WIELAND_UP_BY_HBV_INFECTION,0.073220813406017,8.31014299375519,1.4312371797631e-16,5.38642255976712e-15,26.4554120845938
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING,-0.0472036922563001,-8.29500360780261,1.62115396770559e-16,6.0648527898986e-15,26.3328077183941
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN,0.117548794069842,8.29332757394198,1.64364974339576e-16,6.11262641256943e-15,26.3192476994239
SMIRNOV_RESPONSE_TO_IR_6HR_DN,0.0483031991860642,8.29244688353496,1.65559351726435e-16,6.12082662118025e-15,26.3121234872075
REACTOME_SYNTHESIS_OF_LIPOXINS_LX,-0.102055952917983,-8.26368581087135,2.09639305442156e-16,7.70516394563714e-15,26.0798622683172
REACTOME_RHOB_GTPASE_CYCLE,-0.0483449670115777,-8.25347067826268,2.27931868044432e-16,8.32550564309584e-15,25.9975550598572
REACTOME_OREXIN_AND_NEUROPEPTIDES_FF_AND_QRFP_BIND_TO_THEIR_RESPECTIVE_RECEPTORS,0.00694924702337085,8.252773647318,2.29235920794081e-16,8.32550564309584e-15,25.9919423612102
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE,-0.0584241322464967,-8.2521063040038,2.3049132567998e-16,8.32550564309584e-15,25.9865691404762
LIANG_SILENCED_BY_METHYLATION_UP,-0.059989723961014,-8.2478394343213,2.38679960764091e-16,8.57202030515608e-15,25.9522235740398
NAKAMURA_LUNG_CANCER,0.0844338298217453,8.24483242529844,2.44622456747233e-16,8.73552352645659e-15,25.9280292734746
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,0.0492243369161369,8.24275362733565,2.48815673408988e-16,8.83506501342086e-15,25.9113082581724
ODONNELL_METASTASIS_DN,-0.0920924104565855,-8.2390228343457,2.56519702511077e-16,9.05745129371978e-15,25.8813093624159
REACTOME_MITOCHONDRIAL_UNCOUPLING,0.00476698143330856,8.20782035815911,3.30872405121321e-16,1.15529614788195e-14,25.6309218978056
